T_C,P_MPa,spinel,orthopyroxene,olivine,feldspar,clinopyroxene,biotite
1139.88,2000,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1134.88,2000,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1129.88,2000,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1124.88,2000,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1119.88,2000,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1114.88,2000,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1109.88,2000,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1104.88,2000,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1099.88,2000,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1094.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1089.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1084.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1079.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1074.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1069.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1064.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1059.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1054.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1049.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1044.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1039.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1034.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1029.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1024.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1019.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1014.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1009.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1004.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
999.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
994.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
989.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
984.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
979.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
974.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
969.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
964.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
959.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
954.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
949.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
944.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
939.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
934.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
929.88,2000,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
924.88,2000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
919.88,2000,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
914.88,2000,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
909.88,2000,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
904.88,2000,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
1251.95,5000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1246.95,5000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1241.95,5000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1236.95,5000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1231.95,5000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1226.95,5000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1221.95,5000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1216.95,5000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1211.95,5000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1206.95,5000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1201.95,5000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1196.95,5000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1191.95,5000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1186.95,5000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1181.95,5000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1176.95,5000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1171.95,5000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1166.95,5000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1161.95,5000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
1156.95,5000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1151.95,5000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1146.95,5000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1141.95,5000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1136.95,5000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1131.95,5000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1126.95,5000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1121.95,5000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1116.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1111.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1106.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1101.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1096.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1091.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1086.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1081.95,5000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
